PLAYER_NAME,score,GP,contract,fpg,fpgsd,variance,value
Torrey Craig,212.9,19,2100000.0,11.2,-514.48,-3.278,-5.12
Landry Shamet,133.9,13,1995120.0,10.3,-533.83,-3.402,-5.8
Markieff Morris,240.8,21,1750000.0,11.5,-507.67,-3.235,-5.98
Grant Williams,104.2,17,2379840.0,6.1,-602.71,-3.841,-6.2
Pat Connaughton,110.3,10,1723050.0,11.0,-518.92,-3.307,-6.35
Brad Wanamaker,199.8,17,1445697.0,11.8,-500.68,-3.191,-7.04
Marvin Williams,147.1,10,956349.0,14.7,-423.83,-2.701,-7.63
Kendrick Nunn,166.4,15,1416852.0,11.1,-516.71,-3.293,-7.65
Jeff Green,260.5,12,144901.0,21.7,-169.03,-1.077,-8.0
Luguentz Dort,119.4,6,155647.0,19.9,-243.91,-1.554,-15.52
Reggie Jackson,104.7,12,734025.0,8.7,-564.23,-3.595,-17.61
