player_name,player_id,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
DeMarre Carroll,carrode01,2020,647,296,-1.955579910211266,.9432068733413267,-1.01237303686994,-2.15955409124972,1.678107183071712,-.4814469081780087,-2.135222619143708,1.180514851137688,-.9547077680060195,.2742305148472369,.2170941254558402,.0571363893913967,-2.400104934736506,.2587684829182225,-2.141336451818284,.4553054850636125
Jevon Carter,carteje01,2020,2032,945,.4975861304838295,.1542175690642948,.6518036995481243,-2.622933600413648,2.434765185970392,-.1881684144432559,-.1461010949224199,.6430455706209844,.4969444756985645,1.553354042026804,1.553354042026804,0,-.2121907421525111,.8898927278307489,.6777019856782378,-.7907890586816492
Michael Carter-Williams,cartemi01,2020,1742,833,.8472436142760311,3.607639917540489,4.45488353181652,2.740318328609726,-.2810548254786994,2.459263503131027,1.310628141842214,3.00714408104016,4.317772222882375,3.015189055336052,3.015189055336052,0,.5637210147863092,3.195096886415907,3.758817901202216,.3878436626252813
Vince Carter,cartevi01,2020,1910,876,-2.304254661430372,-1.923809735288631,-4.228064396719004,-3.849316067328526,1.71386352543206,-2.135452541896467,-2.738203376308922,-1.212597427632185,-3.950800803941107,-.5358554499125815,-.5358554499125815,0,-1.942442389044439,-2.735756278431805,-4.678198667476244,-.1568997966032058
Wendell Carter Jr.,cartewe01,2020,2637,1256,-2.987235600467736,-.6295097203184374,-3.616745320786173,-1.273511856235495,3.134977111582354,1.861465255346859,-2.759624879604453,.0986820177248094,-2.660942861879644,.0570170508896972,.0570170508896972,0,-2.957889319540196,.799701627001783,-2.158187692538413,-.0926070737162085
Alex Caruso,carusal01,2020,3592,1685,-1.29156760927521,3.527451349226999,2.235883739951789,-1.238863318276059,4.189287645591243,2.950424327315183,-1.384990135371823,3.808425053967694,2.423434918595872,4.471569551526832,3.77838229861492,.6931872529119112,-1.568045515708295,4.076929906717464,2.508884391009169,.4572039845677859
Willie Cauley-Stein,caulewi01,2020,2301,1097,-4.099708809976579,4.810339518455751,.7106307084791725,-2.359504621487023,2.330257682771017,-.0292469387160066,-3.960457511807658,4.670955709524722,.710498197717064,1.919544184530661,1.919544184530661,0,-4.174329618042012,4.224062211396959,.0497325933549458,-.8878653265744403
Tyson Chandler,chandty01,2020,494,219,-3.393189069532335,-1.090263023212926,-4.48345209274526,-1.115758110689572,1.538227234852264,.4224691241626926,-3.214627615289693,-.6312606002375268,-3.84588821552722,-.1231132039483871,-.1231132039483871,0,-3.559945231818349,-.4736610081640186,-4.033606239982367,-.1707139393124094
Wilson Chandler,chandwi01,2020,1569,734,-1.82354352799848,1.159252241493065,-.6642912865054151,-4.74798396049909,-.9079753022829113,-5.655959262782001,-2.550862893247427,.7857695869462491,-1.765093306301178,.3675198889952131,.3675198889952131,0,-2.237685587144889,.4612177772378409,-1.776467809907048,-.363937971586117
Joe Chealey,chealjo01,2020,69,33,-10.70035538823652,4.927435544287148,-5.772919843949369,-25.40665387734214,9.77438210089537,-15.63227177644677,-14.35796380481071,6.316331736149193,-8.041632068661517,-.0886026268226087,-.0886026268226087,0,-10.72676394886689,3.344550436825802,-7.382213512041085,-.5620924847981337
Zylan Cheatham,cheatzy01,2020,112,51,-3.972090977746589,-8.857069359242754,-12.82916033698934,-5.552628984620809,-8.084753047478454,-13.63738203209926,-4.541227382219302,-9.20878546747274,-13.75001284969204,-.2855136211851908,-.2855136211851908,0,-4.392579922159796,-8.238762147434686,-12.63134206959448,-.2528904461029531
Chris Chiozza,chiozch01,2020,1025,466,-.3027258593505426,.0152339271019324,-.2874919322486102,-1.020140767186172,5.502360061396008,4.482219294209836,-.4666088271907374,1.196763754455757,.7301549272650193,.8334983077662399,.7889195522297513,.0445787555364885,.9558973668156121,-.3019730411418065,.6539243256738055,.5323228398109326
Marquese Chriss,chrisma01,2020,2554,1196,-2.001304436747119,1.901826523330536,-.0994779134165826,-.1959159975613781,-2.491327591862362,-2.687243589423741,-1.665427851429912,1.178586523018145,-.4868413284117674,1.382656847532918,1.382656847532918,0,-2.059003388346706,1.069789566614401,-.9892138217323045,.1241562170304363
Brandon Clarke,clarkbr01,2020,2874,1300,.2027353583077546,.4991129161737492,.7018482744815038,.0509946955178877,1.526724140132921,1.577718835650809,.2051677213614849,.7340466189532987,.9392143403147837,2.450816842609023,2.450816842609023,0,-.5011359544949998,.2805171550775879,-.2206187994174119,.1630947517494297
Gary Clark,clarkga01,2020,1547,711,-.5036918351146816,-1.441092214634312,-1.944784049748994,-3.178709974871236,-1.372434644852347,-4.551144619723583,-1.147026969681,-1.534619777501515,-2.681646747182515,.0312130593127427,-.2648049339949468,.2960179933076894,-.5708694590939387,-2.030784040993959,-2.601653500087898,-.4918595386885958
Jordan Clarkson,clarkjo01,2020,3946,1905,3.050725406568898,-1.88927488814714,1.161450518421758,.808226240750571,-1.153113266867644,-.3448870261170726,2.736674195049116,-1.853820587366616,.8828536076825004,3.509546531239616,3.346863337384115,.1626831938555012,2.168198441827838,-2.056706022154955,.1114924196728825,-.4669463933419746
Nicolas Claxton,claxtni01,2020,410,187,-1.762951469825159,2.083228702340472,.3202772325153127,-8.086787913777803,-2.573630867812292,-10.6604187815901,-3.173494899996729,1.242213369842602,-1.931281530154126,.0777227240401149,.0777227240401149,0,-3.110360110601891,-1.180934127616594,-4.291294238218485,-.508582666539701
Chris Clemons,clemoch01,2020,668,299,-.3019607049194882,-2.27483497513231,-2.576795680051799,-7.550900044647303,-1.017773849640932,-8.568673894288235,-1.846443729129479,-2.153922473581647,-4.000366202711125,-.1958418052992515,-.2110540953474575,.0152122900482061,-.9715027946426636,-2.893151753705446,-3.864654548348109,1.27953603675907
Antonius Cleveland,clevean01,2020,118,55,-6.036534739970668,-2.607320825117057,-8.643855565087726,-6.402682584577265,-3.913905415151796,-10.31658799972906,-6.520519286858417,-2.994766325099287,-9.515285611957705,-.1903674989729414,-.1976501425135183,.007282643540577,-5.296312060255788,-4.51642237763042,-9.812734437886208,-.1765771666779604
Amir Coffey,coffeam01,2020,363,166,-1.332524158684285,-2.702383070703608,-4.034907229387894,.3027806832114266,1.967181044428985,2.269961727640411,-1.136850093300414,-1.956035734207873,-3.092885827508288,-.0297400478680595,-.1103998543494482,.0806598064813887,-.4592393770323114,-2.729919999648516,-3.189159376680828,.0151342894529955
John Collins,collijo01,2020,2962,1363,.3480450953119529,-.746817639161123,-.39877254384917,-1.726379741679343,.9481271361132597,-.7782526055660832,.0008408248750457,-.3754991211041323,-.3746582962290865,1.654028557058982,1.654028557058982,0,.5683257196995339,-.380118475993242,.1882072437062919,.1365922249990507
Zach Collins,colliza01,2020,610,290,-2.766198305037445,2.19748987748124,-.5687084275562051,5.942196464234303,-2.522001452567848,3.420195011666455,-1.136195048217593,1.431900211653582,.2957051634359897,.4502977622634811,.4502977622634811,0,-1.467055539675429,1.462414441038772,-.0046410986366574,-.0767378102313036
Mike Conley,conlemi01,2020,3181,1528,2.127745876645908,-1.785255325888581,.3424905507573278,-1.938991303370078,-.1350077117579953,-2.073999015128074,1.361772028669836,-1.564110854191772,-.2023388255219362,2.023808702969647,1.387883643676829,.6359250592928184,1.167128457450356,-.6237938772304752,.5433345802198805,-.2976463641207175
Pat Connaughton,connapa01,2020,3151,1414,-1.070392454875584,1.204377837472466,.1339853825968814,-1.248517445481799,-2.075406715479849,-3.323924160961648,-1.192423350418313,.469151466197275,-.7232718842210381,1.461755837682491,1.315774613586665,.1459812240958264,-1.531267795189937,-.0066773996798199,-1.537945194869757,-.2834036127739734
